WPM,right_key,wrongkey,wrong_word,correct_words, day
25,1250,7,2,239,30/3
28,1380,17,4,262,30/3
27,1360,29,7,259,30/3
29,1472,16,4,279,30/3
33,1660,32,8,317,31/3
35,1741,23,6,332,31/3
31,1537,15,3,294,31/3
33,1639,43,10,312,1/4
33,1666,52,11,319,1/4
33,1662,79,18,317,1/4
36,1813,41,10,345,2/4
36,1809,49,12,349,2/4
39,1971,55,15,372,2/4
40,2022,51,13,387,2/4
40,1994,53,12,379,3/4
43,2149,63,16,410,3/4
41,2028,99,23,389,14/4
41,2033,143,33,390,20/4
44,2213,107,27,419,20/4
47,2325,64,16,443,20/4
44,2203,70,19,415,22/4
45,2265,46,11,433,22/4
50,2491,43,12,473,29/4
49,2443,50,12,470,2/5
50,2516,34,9,478,3/5
47,2360,89,20,457,3/5
50,2476,67,16,475,4/5
50,2515,65,17,479,4/5
55,2728,34,10,520,6/5
50,2522,72,16,479,10/5
52,2614,77,21,498,10/5
~                                             
